0.0001, 20, 4.6612e-10, 6.3365e-09, 7.9826e-10, 5.8673e-09
0.0001, 20, 8.4196e-10, 4.9327e-09, 3.1942e-10, 4.1156e-09
0.0001, 20, 3.9732e-10, 8.8607e-10, 8.8329e-10, 9.2060e-10
0.0001, 20, 1.4478e-09, 4.1736e-10, 1.4497e-09, 5.2973e-10
0.0005, 20, 3.8883e-08, 4.9390e-07, 5.0271e-08, 3.5622e-08
0.0005, 20, 1.1823e-08, 7.4225e-08, 4.4684e-09, 6.5590e-08
0.0005, 20, 1.1081e-08, 2.5669e-08, 6.6402e-09, 1.3413e-08
0.0008, 20, 3.9806e-08, 2.9749e-06, 1.8088e-08, 4.4975e-07
0.0008, 20, 7.4852e-09, 6.0664e-07, 2.2597e-08, 6.3007e-07
0.0008, 20, 9.5096e-08, 1.1110e-07, 7.9408e-08, 1.9116e-07
0.0008, 20, 2.6206e-08, 6.9123e-07, 7.9430e-08, 3.8121e-07
0.0008, 20, 1.2126e-07, 5.0565e-07, 2.0758e-08, 2.3036e-07
0.0008, 20, 7.2287e-08, 6.5389e-07, 5.6911e-08, 4.6218e-07
0.0010, 20, 2.4859e-07, 6.5571e-08, 5.4193e-08, 6.0330e-08
0.0010, 20, 1.0303e-07, 3.2763e-07, 1.3937e-07, 3.2655e-07
0.0010, 20, 5.0758e-08, 1.0253e-06, 1.3016e-07, 3.7257e-07
0.0050, 20, 9.5840e-07, 4.6993e-06, 2.3980e-06, 3.2228e-06
0.0050, 20, 1.9828e-06, 1.8830e-06, 2.4102e-06, 4.2907e-06
0.0050, 20, 1.4742e-05, 1.0980e-06, 1.1312e-05, 7.1900e-06
0.0050, 20, 6.5202e-06, 1.1995e-05, 6.3261e-06, 1.2998e-05
0.0050, 20, 2.5626e-06, 7.0345e-07, 3.1749e-06, 7.7064e-07
0.0050, 20, 1.1296e-06, 6.2604e-06, 1.0198e-06, 9.2418e-06
0.0050, 20, 1.1698e-06, 4.9313e-06, 1.4306e-06, 5.2545e-06
0.0080, 20, 1.3682e-05, 2.1385e-04, 1.5358e-05, 1.0048e-05
0.0080, 20, 1.0809e-06, 4.8237e-05, 2.1664e-06, 4.3599e-05
0.0080, 20, 2.1336e-06, 1.2185e-05, 4.9937e-06, 4.8045e-06
0.0080, 20, 1.8833e-06, 6.1953e-05, 5.7028e-06, 1.8377e-05
0.0080, 20, 2.2378e-05, 1.2901e-05, 1.3581e-05, 1.0346e-05
0.0080, 20, 8.0331e-06, 5.6615e-06, 1.0328e-05, 2.0697e-05
0.0100, 20, 1.0304e-05, 2.6212e-05, 7.9189e-06, 2.6101e-05
0.0100, 20, 2.7379e-05, 2.5294e-05, 2.2224e-05, 3.2568e-05
0.0100, 20, 1.6153e-06, 1.8582e-05, 2.8256e-06, 2.0706e-05
0.0100, 20, 2.2416e-05, 3.6042e-05, 1.7715e-05, 6.4096e-05
0.0100, 20, 7.8645e-06, 2.4743e-05, 1.2592e-05, 1.9943e-05
0.0100, 20, 4.0491e-06, 5.6991e-05, 1.7505e-05, 7.5028e-05
0.0100, 20, 7.4025e-06, 3.0139e-05, 5.3843e-06, 1.8529e-05
0.0500, 20, 2.2096e-04, 6.7472e-04, 2.9866e-04, 3.7017e-04
0.0500, 20, 2.8919e-04, 1.8132e-04, 1.6817e-05, 1.1874e-04
0.0500, 20, 5.4369e-05, 1.1188e-04, 2.7843e-04, 1.1024e-04
0.0500, 20, 9.7153e-05, 3.8768e-03, 2.2971e-04, 9.8011e-04
0.0500, 20, 2.5084e-04, 8.0767e-04, 2.5229e-04, 8.2885e-04
0.0500, 20, 5.2650e-04, 3.9881e-04, 2.3897e-04, 5.4235e-04
0.0800, 20, 2.4624e-03, 9.0996e-03, 1.9796e-03, 5.1291e-03
0.0800, 20, 1.0058e-03, 3.7418e-04, 1.2016e-03, 3.6760e-04
0.0800, 20, 3.6299e-04, 1.3414e-03, 2.5686e-04, 1.7761e-03
0.0800, 20, 1.7158e-03, 1.6208e-04, 1.5301e-03, 9.8172e-05
0.0800, 20, 3.2936e-04, 2.0019e-03, 2.2355e-04, 6.5861e-04
0.0800, 20, 7.7180e-04, 4.4024e-04, 4.8382e-04, 7.5218e-04
0.1000, 20, 1.3286e-03, 4.0157e-03, 7.7644e-04, 1.6243e-03
0.1000, 20, 7.2276e-04, 1.4885e-03, 8.3435e-04, 3.7837e-04
0.1000, 20, 6.2459e-04, 6.1678e-03, 6.1187e-04, 5.3792e-03
0.1000, 20, 3.7330e-03, 8.9145e-03, 1.7861e-03, 7.2859e-03
0.1000, 20, 1.3558e-03, 6.0365e-04, 1.4086e-03, 5.1428e-04
0.1000, 20, 1.6183e-03, 1.3252e-03, 2.1196e-03, 9.2383e-04
0.1000, 20, 1.6776e-03, 6.9823e-03, 4.3554e-04, 2.5723e-03
